Date,Open,High,Low,Close
2022/8/1,1678.12,1704.68,1606.12,1630.28
2022/8/2,1630.28,1678,1559.28,1630.91
2022/8/3,1630.91,1685.03,1589.71,1618.16
2022/8/4,1618.16,1662.79,1580.39,1607.96
2022/8/5,1607.97,1742.07,1605.64,1736.81
2022/8/6,1736.81,1749.93,1685.26,1690.6
2022/8/7,1690.6,1729.79,1668,1700.19
2022/8/8,1700.2,1818,1693.87,1777.05
2022/8/9,1777.05,1790.83,1667.93,1702.76
2022/8/10,1702.76,1885,1656.78,1853.57
2022/8/11,1853.58,1942,1850.32,1880.19
2022/8/12,1880.19,1964.71,1853.06,1958.28
2022/8/13,1958.28,2020,1946.5,1983.55
2022/8/14,1983.55,2030,1906,1935.31
2022/8/15,1935.32,2012.47,1872.31,1899.06
2022/8/16,1899.05,1915,1853,1876.67
2022/8/17,1876.67,1959.43,1818.74,1834.25
2022/8/18,1834.24,1882.37,1821.25,1846.39
2022/8/19,1846.39,1848,1602.37,1609.01
2022/8/20,1609,1657.08,1523.67,1576.04
2022/8/21,1576.03,1646.52,1562.34,1618.13
2022/8/22,1618.13,1629.72,1529.92,1624.66
2022/8/23,1624.65,1676.07,1563.76,1665.41
2022/8/24,1665.4,1694.13,1604.92,1656.56
2022/8/25,1656.56,1722,1653.68,1695.11
2022/8/26,1695.11,1706.45,1486.85,1508.18
2022/8/27,1508.18,1518.42,1447.52,1491.06
2022/8/28,1491.06,1511,1424,1426.76
2022/8/29,1426.76,1559.99,1422.08,1551.8
2022/8/30,1551.79,1606.13,1473.61,1524.59
2022/8/31,1524.59,1619.78,1524.59,1554.1
2022/9/1,1554.11,1599,1512.77,1586.16
2022/9/2,1586.17,1650,1546.41,1575.35
2022/9/3,1575.35,1582.71,1534.28,1557.46
2022/9/4,1557.45,1583.66,1540.66,1579.28
2022/9/5,1579.29,1631.99,1556.56,1617.8
2022/9/6,1617.8,1687.4,1555,1559.01
2022/9/7,1559.01,1657.5,1490.66,1630
2022/9/8,1630,1663.56,1595.06,1635.37
2022/9/9,1635.37,1746.13,1630.51,1718.23
2022/9/10,1718.24,1789,1706.03,1774.12
2022/9/11,1774.12,1789,1720.1,1766.11
2022/9/12,1766.12,1783,1693,1716.37
2022/9/13,1716.37,1760.51,1560.54,1574.4
2022/9/14,1574.4,1647.01,1552.38,1638.39
2022/9/15,1638.4,1655.2,1458,1472.75
2022/9/16,1472.76,1483.35,1405.52,1433.9
2022/9/17,1433.9,1476.13,1409.12,1468.83
2022/9/18,1468.82,1469.63,1325.55,1334.51
2022/9/19,1334.51,1393.35,1280,1375.98
2022/9/20,1375.98,1384.78,1312.71,1322.93
2022/9/21,1322.94,1408.9,1220,1245.78
2022/9/22,1245.79,1350.08,1237.32,1326.46
2022/9/23,1326.47,1360,1262.15,1327.25
2022/9/24,1327.24,1349.33,1306.52,1317.13
2022/9/25,1317.13,1337,1269.27,1294.63
2022/9/26,1294.62,1340.42,1277.85,1336.17
2022/9/27,1336.17,1400,1303.75,1328.02
2022/9/28,1328.01,1355.7,1253.2,1337.2
2022/9/29,1337.2,1352.02,1288.52,1335.7
2022/9/30,1335.69,1373.19,1313.35,1328.72
2022/10/1,1328.71,1333.69,1302.68,1311.79
2022/10/2,1311.79,1317.93,1270,1276.72
2022/10/3,1276.72,1329.9,1263.04,1323.09
2022/10/4,1323.1,1369.55,1318.66,1361.49
